Inicio de registro: 2025-08-07 17:30:00
2025-08-07,19:14:30, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:29, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:38, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:47, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.50, S6: 19.00, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:56, Unidad: C°,S1: 20.25, S2: 20.06, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:17:06, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:17:15, Unidad: C°,S1: 20.25, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:17:24, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:17:33, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:17:42, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 20.00.
2025-08-07,19:17:52, Unidad: C°,S1: 20.38, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.13, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:18:01, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:18:10, Unidad: C°,S1: 20.38, S2: 19.94, S3: 20.25, S4: 20.13, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:18:19, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.13, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 20.00.
2025-08-07,19:18:28, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.13, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.06, S20: 20.00.
2025-08-07,19:18:37, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 19.94.
2025-08-07,19:18:47, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:18:56, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.25, S5: 24.44, S6: 19.00, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:19:05, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:19:14, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.25, S5: 24.44, S6: 18.94, S7: 19.06, S8: 19.31, S9: 19.31, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:19:23, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.44, S10: 19.06, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:19:33, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 19.00, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:19:42, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:19:51, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:20:00, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.25, S5: 24.50, S6: 19.00, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:20:09, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.00, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:20:18, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:20:28, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:20:37, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:20:46, Unidad: C°,S1: 20.25, S2: 20.00, S3: 20.13, S4: 20.13, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 18.94, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:20:55, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.06, S20: 19.94.
2025-08-07,19:21:04, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:21:14, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 18.94, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:21:23, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.88, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:21:32, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.13, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 18.94, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:21:41, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.88, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:21:50, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:21:59, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.31, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:22:09, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.19, S4: 20.13, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:22:18, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:22:27, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.25, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.00, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:22:36, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.31, S10: 19.00, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:22:45, Unidad: C°,S1: 20.19, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.31, S10: 19.06, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:22:55, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:04, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.13, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:13, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.31, S10: 19.06, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:22, Unidad: C°,S1: 20.38, S2: 19.94, S3: 20.19, S4: 20.13, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.31, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:31, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.25, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:40, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.06, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.69, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:50, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.06, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.06, S12: 19.69, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:23:59, Unidad: C°,S1: 20.25, S2: 20.00, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:24:08, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.13, S5: 24.44, S6: 18.88, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.13, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:24:17, Unidad: C°,S1: 20.38, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.06, S12: 19.75, S13: 20.06, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:24:26, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.19, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.25, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:24:35, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:24:45, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 19.00, S7: 19.00, S8: 19.38, S9: 19.44, S10: 18.94, S11: 19.06, S12: 19.69, S13: 20.06, S14: 20.19, S15: 20.19, S16: 19.94, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:24:54, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 19.00, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:25:03, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.00, S11: 19.06, S12: 19.69, S13: 20.06, S14: 20.19, S15: 20.19, S16: 19.94, S17: 19.94, S18: 19.69, S19: 20.00, S20: 19.94.
2025-08-07,19:25:12, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.38, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.06, S12: 19.69, S13: 20.06, S14: 20.19, S15: 20.19, S16: 19.88, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:25:21, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.25, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 18.94, S11: 19.19, S12: 19.69, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:25:31, Unidad: C°,S1: 20.31, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.38, S10: 19.00, S11: 19.06, S12: 19.69, S13: 20.06, S14: 20.19, S15: 20.19, S16: 19.88, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:25:40, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.44, S10: 19.00, S11: 19.06, S12: 19.69, S13: 20.13, S14: 20.19, S15: 20.19, S16: 19.94, S17: 19.94, S18: 19.75, S19: 20.00, S20: 19.94.
2025-08-07,19:25:49, Unidad: C°,S1: 20.25, S2: 19.94, S3: 20.13, S4: 20.19, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.13, S12: 19.69, S13: 20.06, S14: 20.19, S15: 20.19, S16: 19.88, S17: 20.00, S18: 19.75, S19: 20.00, S20: 19.94.
